スタック領域,関数呼び出しや局所変数を管理するメモリ領域。LIFO構造で扱われる。
UTF-32(UCS-4),固定長4バイトでUnicodeを表現する文字コード。
SMIL(Synchronized Multimedia Integration Language),マルチメディアプレゼンテーションのためのマークアップ言語。
XML Schema,XML文書の構造や内容を定義するスキーマ言語。
XSLT,XML文書を他の形式に変換するための言語。
XPath,XML文書の要素を指定・抽出するための言語。
XLink,XML文書内でリンクを作成するための仕様。
DHTML,動的に変化するHTML技術の総称（JavaScriptやCSSを含む）。
サーフィスモデル,3Dモデリングで表面のみを表すモデル。
ワイヤフレームモデル,3Dモデルの骨組みだけを表現したモデル。
ソリッドモデル,3D空間で体積を持つ立体モデル。
クリッピング,描画範囲外の部分を切り取る処理。
レンダリング,3Dデータから画像を生成する処理。
テクスチャマッピング,3Dモデルに画像を貼り付けて質感を表現する技術。
シェーディング,光の当たり方で色や陰影を計算する技術。
アンチエイリアシング,ギザギザを滑らかに見せる画像処理技術。
メタボール,複数の球状オブジェクトを滑らかに合成した3D形状。
ラジオシティ,光の反射・拡散を計算するリアルな照明モデル。
レイトレーシング,光線の追跡でリアルな画像を生成する技術。
ビットマップフォント,ピクセル単位で定義されたフォント。
アウトラインフォント,線の輪郭で定義された拡大縮小可能なフォント。
インデックスカラー,カラー情報を色番号で管理する画像形式。
オーバレイ,画像や映像の上に別の情報を重ねて表示する技術。
カーニング,文字間の調整（間隔を詰めたり広げたり）する技術。
ディザリング,色数の少ない環境で疑似的に色を表現する技術。
SVG,XMLベースのベクター画像フォーマット。
MathML,数学式を表現するためのXMLベース言語。
幾何学的レジストレーション,複数の画像を幾何学的に位置合わせする技術。
OpenGL,クロスプラットフォームな3DグラフィックスAPI。
PNG,可逆圧縮の画像フォーマット。透明度対応。
JPEG,非可逆圧縮の画像フォーマット。写真向け。
TIFF,高品質な画像を扱える可逆圧縮フォーマット。
PDPディスプレイの発光方式,放電によって蛍光体を発光させる自発光方式。
液晶ディスプレイの発光方式,バックライトを通し液晶が光を制御する方式（非自発光）。
有機ELディスプレイの発光方式,有機物が電気で自発光する方式。高コントラスト・薄型。
CRTディスプレイの発光方式,電子ビームが蛍光体を照射して発光する方式。
3D映像,両眼視差を利用し、立体的に見える映像技術。
UCS,Unicodeの文字集合規格。全世界の文字を網羅。
EBCDIC,IBMが開発した8ビットの文字コード。
JIS漢字コード,日本工業規格に基づく日本語文字コード。
JISコード,日本語文字や記号を扱うための文字コードの総称。
AC-3,Dolby Digitalとも呼ばれる音声圧縮方式。
G.729,音声通信で使われる低ビットレートの音声圧縮方式。
H.264/AVC,高圧縮・高画質な動画圧縮規格。
MPEG-1,映像と音声の圧縮規格。VCDなどに使用。
ディジタルツイン,現実の物や環境を仮想空間に再現する技術。
セル生産方式,少人数で製品の一連工程を担当する生産方式。
CDP,企業が継続雇用の前提として，従業員に対して他社でも通用する技術・能力の維持責任を求める一方，企業も従業員の能力開発を積極的に支援する。
浸透価格戦略,市場シェア拡大のために価格を低く設定する戦略。
COBIT（Control Objectives for Information and Related Technology）,ITガバナンスと管理のフレームワーク。
DOA,データ中心アプローチ。データの独立性を重視する設計手法。
リーンスタートアップ,無駄を省き、迅速に仮説検証して事業を立ち上げる手法。
SOA,サービス単位で機能を分けたシステム設計方式。
BPR,業務プロセスの抜本的改革により効率向上を図る手法。
ERP,組織の経営資源を一元管理する統合業務システム。
KPI,重要業績評価指標。目標達成度を測る具体的な指標。
KGI,重要目標達成指標。最終的な成果を測る指標。
"EVA（Economic Value Added）
",経済的付加価値。税引後利益から資本コストを引いた指標。
IRR,内部収益率。投資の収益性を表す割引率。
NPV,正味現在価値。将来キャッシュフローの現在価値合計。
ROI,投資利益率。投資額に対する利益の割合。
フィルタバブル,ネット上のアルゴリズムにより偏った情報しか届かなくなる現象。
環境アセスメント,開発前に環境への影響を評価・予測する手続き。
SL理論（状況対応リーダーシップ理論）,メンバーの成熟度に応じて指導スタイルを変える理論。
ジョハリの窓,自己理解と他者理解を4領域で示す心理モデル。
SECIモデル,暗黙知と形式知の変換による知識創造プロセス。
デュアルシステム,2つの独立系統が協調して動作するシステム構成。
デュプレックスシステム,主系と待機系の2系統からなる冗長構成。
フェールオーバー,故障時に自動で待機系に切り替える仕組み。
フェールバック,復旧後に元のシステムに自動で戻す機能。
フェールソフト,一部機能を制限しながら安全に動作を継続する方式。
フォールバック,機能低下を伴う代替手段への自動切り替え。
フェールセーフ,故障時でも安全な状態を保つ設計思想。
フループルーフ,人為的ミスでも危険が生じないようにする設計。
フォールトアボイダンス,故障を未然に防ぐ設計や対策。
フォールトトレランス,故障が発生してもシステム全体が動作を継続できる設計。
フォールトマスキング,故障の影響をユーザーに見せずに隠す技術。
スケールアップ,サーバの性能を向上させて処理能力を高めること。
スケールアウト,サーバを台数で増やして処理能力を向上させること。
チェックポイント法,プログラムの途中状態を記録して、障害時に再開可能にする技法。
キャパシティプランニング,システムや設備の処理能力を予測・計画する手法。
プルーフリスト,セキュリティ監査などで使われるチェックリスト形式の証拠集。
コールド・スタンバイ,予備システムが電源オフなどで待機しており、手動で切替える方式。
ホットプラグ,電源を入れたまま機器の着脱ができる機能。
MTBF,平均故障間隔。故障までの平均稼働時間。
MTTR,平均修復時間。故障から復旧までにかかる平均時間。
マーケティング要素4P,Product、Price、Place、Promotionの4要素で構成されるマーケティング戦略。
買い手側の視点である4C,Customer Value、Cost、Convenience、Communicationの4要素。
マズローの自己実現理論（欲求の5段階説）,人間の欲求を5段階に分けた理論。最上位は自己実現欲求。
協調フィルタリング,類似の好みを持つユーザーからおすすめを導き出す技術。
レベニューシェア型契約,売上に応じて利益を分配する契約形態。
SQuBOK,ソフトウェア品質に関する知識体系。
SWEBOK,ソフトウェア工学の標準的な知識体系。
BABOK,ビジネスアナリシスの知識体系。
PMBOK,プロジェクトマネジメントの知識体系。
サイバーフィジカルシステム,現実世界（物理）とIT（サイバー）を融合したシステム。
ワークサンプリング法,作業の状態をランダムに観測し、比率を統計的に把握する手法。
ABC分析,商品などを重要度でA・B・Cに分類する在庫管理手法。
PTS法(規定時間標準法),動作を細分化して作業時間を設定する方法。
実績資料法,過去の作業データを使って作業時間を推定する方法。
ストップウォッチ法(時間観測法),作業時間をストップウォッチで直接測定する方法。
コアコンピタンス,他社に真似できない企業独自の強み。
TLO（Technology Licensing Organization）,大学の研究成果を企業へ技術移転する機関。
APIエコノミー,APIを活用した新たなビジネスモデルや経済圏。
ギグエコノミー,単発・短期の仕事をネットを通じて受ける経済形態。
シャドーエコノミー,非公式・非合法な経済活動の総称（闇経済）。
トークンエコノミー,ブロックチェーン上のトークンを中心に構築される経済圏。
フォロー･ザ･サン,地球上の時差を活用し、24時間業務を途切れず行う運用体制。
バーチャルサービスデスク,地理的に分散されたサポート拠点を統合する仮想的な窓口。
連関図法,問題の因果関係を矢印で整理し、複雑な要因を可視化する手法。
特性要因図（フィッシュボーンチャート）,問題の原因を分類・整理するための図。魚の骨のような形状。
親和図法（KJ法）,発想や意見をグループ化して問題構造を整理する手法。
PDPC（Process Decision Program Chart）,過程決定計画図。計画の各ステップとリスク、対策を視覚化する。
系統図法,目的達成のために必要な手段を論理的に展開する手法。
3PL,サードパーティ・ロジスティクス。物流業務の外部委託。
EMS,環境マネジメントシステム。環境への配慮を体系的に管理する仕組み。
デザインハウス,半導体などの製品設計専門企業。製造は外注する形態。
ITアウトソーシングサービス,情報システム業務を外部企業に委託するサービス形態。
コンバージョン率,ウェブ訪問者のうち成果（購入・登録など）に至った割合。
リテンション率,顧客やユーザーの継続利用・再訪率。定着率。
モンテカルロ法,乱数を使って複雑な問題を数値的にシミュレーションする手法。
SoE,Systems of Engagement。顧客接点の情報システム。
SoR,Systems of Record。基幹情報を扱う信頼性重視の情報システム。
フィットギャップ分析,システム導入時に既存業務との適合・差異を評価する手法。
バリューチェーン分析,企業の活動を分解して、どこで価値を生むかを分析する手法。
PEST分析,政治（P）、経済（E）、社会（S）、技術（T）の外部環境分析。
バーンダウンチャート,残作業量を可視化するグラフ。進捗管理に使われる。
EAI（Enterprise Application Integration）,異なるシステム間の連携を実現するソフトウェア基盤。
AIDMA,消費者の購買プロセスモデル（注意→関心→欲求→記憶→行動）。
ドロップショッピング,在庫を持たずに商品の販売と発送を他社に委託する販売方式。
Society5.0,超スマート社会。IoT・AIを活用した人間中心の社会像。
e-Gov,電子政府。行政手続きをオンラインで提供する政府の仕組み。
CIO,最高情報責任者。情報システム戦略の統括責任者。
CFO,最高財務責任者。財務戦略・管理を担う経営幹部。
CTO,最高技術責任者。技術戦略や開発の責任者。
CLO,最高法務責任者。企業の法務リスク管理担当役員。
開発計画,システムや事業の開発に関する計画書。目的・工程・体制などを記述。
事業継続計画,災害などの非常時に事業を継続・復旧するための計画。
全体最適化計画,組織全体の視点でITや業務の最適化を目指す計画。
年間運用計画,年単位でのシステム運用方針・スケジュールの計画。
SCM,サプライチェーンマネジメント。供給から販売までの一連の流れの最適化。
パテントプール,複数企業が特許を共有して相互利用できるようにする仕組み。
オプトイン,あらかじめ同意したユーザーにのみ情報を送る方式。
EDI（Electronic Data Interchange）,電子データ交換。企業間の取引データを電子化してやりとりする仕組み。
MHS（Message Handling System）,メッセージ処理システム。電子メールの国際標準（X.400）を含む。
EOB（Electric Order Book）,金融市場において、買いと売りをリアルタイムで電子的に管理・表示するシステム。株式、FX、暗号資産などの取引所で使われる。
プログラムマネジメント,複数のプロジェクトを統合的に管理し、戦略的目標を達成する手法。
ITIL,ITサービス管理のベストプラクティス集。
RFI,情報提供依頼書。ベンダーに対し情報提供を求める文書。
RFP,提案依頼書。システム構築などの提案を依頼する公式文書。
"RFC(Request for Comments)
",要求仕様書。仕様や技術的な変更提案をまとめた文書。
プロジェクト憲章,プロジェクトの目的・範囲・責任などを明文化した文書。
スコープ規定書,プロジェクトで実施する作業の範囲を定義した文書。
契約締結依頼書,契約を結ぶために社内決裁を得るための書類。
SFA,営業支援システム。営業活動の効率化・可視化を支援するツール。
クリエイティブコモンズ,著作物の利用許可条件を明示するライセンスの仕組み。
技適マーク,日本の電波法に基づく無線機器の技術基準適合マーク。
CEマーク,EU加盟国で販売する製品に必要な安全適合マーク。
PSEマーク（Product Safety Electrical Appliance & Materials）,電気製品の安全基準への適合を示す日本のマーク。
FCCマーク,米国連邦通信委員会（Federal Communication Commission）が認証した電子機器に付されるマーク。
JIS Q 9000,日本工業規格の品質管理および品質保証に関する基本概念規格。
JIS Q 9001:2000(ISO 9001:2000),品質マネジメントシステムの国際規格。2000年版。
IEEE,米国電気電子学会。標準規格や技術研究を推進する団体。
JEC,日本電気標準調査会。電気関係の日本標準を策定する機関。
JEITA,電子情報技術産業協会。日本の電子産業団体。
日本産業標準調査会,工業標準化法に基づきJISなどの審議・制定を行う機関。
LGWAN,地方公共団体専用の行政用ネットワーク。
EDINET,金融庁が提供する電子開示システム。企業の財務情報などを公開。
日本産業標準調査会,工業標準化法に基づきJISなどの審議・制定を行う機関。
IFRS（International Financial Reporting Standards）,企業間の戦略的提携関係。協業や共同開発を目的とする。
アライアンス,戦略的提携や共同開発などを通じて、外部の経営資源（技術、人材、情報など）を積極的に活用し、変化する経営環境に柔軟かつ迅速に対応する取り組み
事業部制組織,製品・事業・地域などで分け事業責任（利益責任）を負う事業部を設けた組織。
FinTech,"金融と技術を融合させ、金融サービスを便利・効率的・安全にする仕組み。 スマホ決済やネット証券、暗号資産などが代表例。
"
情報銀行,データの売買・交換を行う仕組みやプラットフォーム。
データ取引市場,企業や組織が保有する産業用データを事業者に売買・共有するための取組
GAAP（Generally Accepted Accounting Principles）,国際会計基準審議会。IFRSを策定する組織。
IASB（International Accounting Standards Board）,米国証券取引委員会。金融市場を監視・規制する政府機関。
SEC（Securities and Exchange Commission）,インターネット技術の標準化を行う国際的組織。プロトコル等を策定。
IETF（Internet Engineering Task Force）,インターネット技術の標準化団体。TCP/IPなどの規格策定を行う。
JIS Q 27002,情報セキュリティ管理の実践ガイドライン（ISO/IEC 27002準拠）。
JIS Q 27000:2019,ISMS（情報セキュリティマネジメントシステム）の基本用語を定義する規格。
JIS X 5070,ユーザビリティ評価のためのプロセスを規定したJIS規格。
JIS X 5731-8,RFIDなど自動認識技術の規格の一部（ISO/IEC 19762-8に相当）。
IPプロバイダ,半導体設計で使う回路IP（知的財産）を提供する企業。
ファウンドリ,半導体の製造のみを請け負う企業。
ファブレスメーカ,自社で製造設備を持たず、設計だけ行う半導体企業。
ドキュメントレビュー法,文書を使って仕様や設計の誤りを確認する評価手法。
ウォークスルー法,作成者が関係者に内容を説明し、意見や指摘を得るレビュー手法。
デルファイ法,専門家の意見を匿名で集めて合意形成を図る調査手法。
クロスセクション法,特定時点での状態を多角的に把握する調査・分析手法。
シナリオライティング法,将来の状況をシナリオとして記述し、課題を分析する手法。
親和図法,バラバラな情報や意見を意味ごとにグループ化して整理する手法。
EA参照モデル,エンタープライズアーキテクチャの構築に用いる標準モデル。
To-Beモデル,将来あるべき業務やシステムの理想像を示すモデル。
ザックマンモデル,EAの構造を6つの質問軸と6つの視点軸で整理したフレームワーク。
データモデル,データの構造や関係性を表す概念図（ER図など）。
ヒューリスティック評価,専門家が経験則に基づいてUIやUXを評価する方法。
ポジショニングマップ,商品やブランドを市場内での位置づけとして視覚化する図。
アンゾフの成長マトリクス,市場と製品の新旧の組み合わせから成長戦略を分類するフレームワーク。
ファイブフォース分析,業界の競争要因を5つの視点で分析する戦略ツール。
3C分析,市場環境をCustomer（顧客）、Company（自社）、Competitor（競合）の3視点で分析する手法。
パレート分析,重要な要因を優先的に特定する分析（80:20の法則）。
コンジョイント分析,消費者が重視する属性を把握するマーケティング手法。
コーホート分析,同一条件下にあるグループの行動を経時的に分析する手法。
コレスポンデンス分析,多変量データを2次元マップで視覚化する統計手法。それぞれのブランドのポジショニングを分析する
ポートフォリオ分析,複数事業や商品を市場成長率・市場占有率などで分類する戦略分析法（例：BCGマトリクス）。
混合戦略,プレイヤーが複数の戦略を確率的に選ぶ意思決定方式。ゲーム理論で使用。
純粋戦略,プレイヤーが常に同じ戦略を選ぶ意思決定方式。
マクシマックス原理,最も高い利益が得られる戦略を選ぶ楽観的な意思決定基準。
マクシミン原理,最悪の結果の中で最も損失が少ない戦略を選ぶ悲観的な基準。
リテールサポート,メーカーが小売店の販売促進を支援する活動。
CSR活動,企業が社会的責任を果たすための活動。環境保護や地域貢献など。
ベンチャー投資,成長が見込まれる新興企業に対して行う投資。
コミュニティ投資,地域社会の発展を目的に行う資金提供や支援活動。
リーダ企業,業界で最も大きな市場シェアを持つ主導的な企業。
チャレンジャ企業,リーダ企業に挑戦し、シェア拡大を狙う企業。
ニッチャ企業,特定の狭い市場（ニッチ）に特化している企業。
フォロワ企業,他社の成功例を模倣して市場に参入する企業。
ROI,投資利益率。投資に対してどれだけ利益を得たかを示す指標。
ベンチマーク,業界の優良事例や基準と比較して自社の性能を評価すること。
プライスライニング戦略,製品を段階的な価格帯に分けてラインアップを構成する戦略。
スキミングプライス戦略,新製品の導入時に高価格で販売し、徐々に価格を下げる戦略。
キャプティブ価格戦略,本体を安く売り、専用消耗品などで利益を得る戦略（例：プリンターとインク）。
実勢価格,実際の市場で取引されている価格。
差別価格,顧客層や条件によって異なる価格を設定する戦略。
ターゲットリターン価格設定,所定の利益率を得るために価格を設定する方法。
知覚価値価格,顧客が感じる価値に基づいて価格を決める戦略。
バイラルマーケティング,口コミやSNSなどを通じて情報が自然拡散するマーケティング手法。
アカウントアグリゲーション,複数の金融機関の口座情報を一元管理する仕組み。
アグリゲーションサービス,複数の情報やサービスを集約して提供するサービス（例：価格比較サイト）。
エスクローサービス,第三者が取引を仲介・保証することで安全性を確保するサービス（例：ネット通販）。
オムニチャネル,実店舗・EC・アプリなど複数チャネルを統合して一貫した顧客体験を提供する戦略。
バリュープライシング,提供価値に基づいて価格を決める手法。コストでなく顧客価値が基準。
プッシュ戦略,商品を流通業者・小売店に積極的に売り込む販売促進戦略。
プル戦略,広告などで消費者の需要を喚起し、販売を引き出す戦略。
SRI（Socially Responsible Investment）,社会や環境に配慮した企業に対して行う投資。
BPM,業務プロセスを継続的に可視化・最適化する手法。
プレシデンスダイアグラム法,プロジェクトの作業順序をノードと矢印で示す手法。
製造物責任法(PL法),欠陥製品による損害について、製造者に責任を負わせる法律。
ベンチマーキング,他社の優れた事例と比較して、自社の改善に活かす手法。
バランススコアカード,財務・顧客・業務・学習と成長の4視点から業績を評価・管理する手法。
ローリングウェイブ計画法,近未来の作業を詳細に、遠い未来の作業は大まかに計画し、随時更新する方法。
SWOT分析,強み・弱み・機会・脅威を分析し、戦略立案に活用する手法。
待ち行列理論,サービスの待ち時間や混雑の分析に用いられる数理モデル。
RACIチャート,各作業に対する責任範囲を「実行(R)・説明(A)・相談(C)・報告(I)」に分類する表。
クラッシング,作業に追加リソースを投入して工期を短縮する手法。
ファストトラッキング,並列にできる作業を同時進行させて期間を短縮する方法。
クリティカルチェーン法,バッファを使って納期の確実性を高めるプロジェクト管理手法。
モンテカルロ法,乱数と統計を使って結果の予測を行うシミュレーション手法。
ジャクソン法,構造化プログラミングの設計手法の一つで、データ構造に基づいて設計。
ワーニエ法,手続きの流れを階層的に記述するソフトウェア設計手法。
許容逸脱率,計画と実績の差がどこまで許容できるかを示す指標。
リスクアセスメント,リスクの特定・分析・評価を行い、対策を検討するプロセス。
サンプリングリスク,抽出したサンプルが母集団を正しく反映していない可能性。
フェーズ・ゲート,プロジェクトの各段階終了時に進行可否を判断するチェックポイント。
デザイン・レビュー,設計内容の妥当性や欠陥を関係者で検討・確認する会議。
プロダクト・ポートフォリオ・マネジメント,複数の製品やサービスの投資・開発バランスを管理する手法。
サービス・ポートフォリオ,提供中・計画中・廃止予定のサービス全体の一覧と管理情報。
サービス・カタログ,顧客向けに提供するサービスの内容や条件を一覧化したもの。
イテレーション,短期間の開発サイクルで、繰り返し改善する手法。
プロダクトオーナ,スクラムにおける、製品価値の最大化に責任を持つ役割。
開発チーム,実際に製品を設計・開発・テストする自律的なメンバー集団。
KPT手法,Keep（継続）、Problem（課題）、Try（改善）でふりかえりを行う手法。
スクラムマスター,スクラムの実践を支援し、チームの障害を取り除く役割。
リーンソフトウェア開発,無駄の削減や品質向上を重視するアジャイルの考え方の一つ。
ピンポンペアプログラミング,交互にコードを書き、レビューしながら進めるペア開発手法。
日次スクラム,毎日行う短時間の進捗確認ミーティング（デイリースクラム）。
ふりかえり,スプリント終了後にチームが活動を振り返り改善を図る活動。
XP,コミュニケーションやフィードバックを重視したアジャイル手法。
ASD,変化に柔軟に対応し、段階的に価値を提供する開発手法の総称(Adaptive Software Development)。推測→協調→学習
スクラム,役割・イベント・成果物を定めたアジャイル開発のフレームワーク。
フィーチャ駆動開発,機能（フィーチャ）単位で設計・開発を行うアジャイル手法。
思考発話法,ユーザーに操作中の思考を声に出してもらい、使い勝手を評価する手法。
親和図法(KJ法),多くの意見・情報を意味で分類し、全体像を整理する手法。
局所探索法,現在の状態から近傍の状態を評価し、最良の方向に進める探索手法。
貪欲法(グリーディ法),目先で最適な選択を繰り返して最終解に近づくアルゴリズム。
逓減(ていげん)課金方式,利用量が多くなるほど単価が下がる課金モデル（例：大口割引）。
パラメトリック見積り,過去のデータや統計モデルを用いて、コストや工数を見積もる手法。
三点見積り,楽観値・悲観値・最可能値の3点から平均的な見積もりを導く手法。
ヒューリスティック評価,専門家が経験則に基づき、UI/UXの問題点を評価する方法。
パレート図,問題の原因や要素を重要度順に棒グラフで示し、優先順位を明確にする図。
ラーニングカーブ,作業や生産の経験が増えることで効率が向上する曲線のこと。
監査手続,監査人が監査を行う際の具体的な調査・検証方法。
パスアラウンド,ドキュメントや成果物を回覧し、関係者の意見や承認を得るプロセス。
インスペクション,ソフトウェア開発などで欠陥を発見するための形式的なレビュー。
RCA（Root Cause Analysis）,問題の根本原因を特定し、再発防止策を考える手法。
ODC分析,ソフトウェアの欠陥を分類し品質改善に活かす分析手法（Orthogonal Defect Classification）。
CMMI（Capability Maturity Model Integration）,組織のプロセス成熟度を評価・改善するためのモデル。
トレンドチャート,時系列で変化するデータの傾向をグラフで示したもの。
CSF（Critical Success Factor）,目標達成に必要な重要成功要因。
EVM（Earned Value Management）,進捗やコストを統合管理し、プロジェクトの健全性を評価する手法。
PMO（Project Management Office）,プロジェクト管理の標準化や支援を行う組織。
標準タスク法,作業を標準的なタスクに分割し、計画・管理を行う方法。
ボトムアップ見積り法,個々の作業単位から詳細に見積もりを積み上げて全体を算出する手法。
COCOMO,ソフトウェア工数を見積もる経験的モデル（Constructive Cost Model）。
類似法,過去の類似プロジェクトのデータを基に見積もる手法。
ファンクションポイント法,ソフトウェアの機能規模から開発工数を見積もる方法。
プログラムステップ法,プログラムの命令数に基づいて工数を見積もる方法。
配置図,システム構成要素の物理的配置を示す図。
プロファイル図,要素の特性や分布をグラフで示す図。
ユースケース図,システムと外部ユーザーの関わり（機能要件）を表す図。
シーケンス図,オブジェクト間のメッセージ交換の順序を示す図。
コミュニケーション図,オブジェクト間の関係とメッセージのやり取りを示す図。
ステートマシン図,オブジェクトの状態遷移を表現した図。
アクティビティ図,業務や処理の流れ（活動）を表現する図。
インタラクション概要図,システム内のオブジェクト間のやり取りや関係を高レベルで表現したUML図。
タイミング図,オブジェクトやシステムの時間経過に沿った動作や状態変化を示すUML図。
UML,統一モデリング言語。ソフトウェア設計で使う図表の標準規格。
クラス図,クラスとその属性・操作、クラス間の関係を示すUML図。
パッケージ図,クラスやその他の要素をグループ化して表現するUML図。
オブジェクト図,実際のインスタンス（オブジェクト）とその関係を示すUML図。
コンポジット図,複合構造図。オブジェクトの内部構造や構成要素間の関係を示す図。
コンポーネント図,ソフトウェアの部品（コンポーネント）とその依存関係を示す図。
データフロー図,システム内のデータの流れや処理を示す図。
コラボレーション図,オブジェクト間の相互作用（メッセージ交換）を示すUML図。
ステートチャート図,状態遷移図。オブジェクトの状態変化と遷移を示すUML図。
ビットとバイト変換,8ビットが1バイト。ビットは情報の最小単位。
2進数を10進数に変換,2進数の各桁を重み付け（2の累乗）して合計し10進数にする。
10進数を2進数に変換,10進数を2で割り続け、余りを逆順に並べて2進数にする。
10進数を16進数に変換,10進数を16で割り続け、余りを逆順に並べて16進数にする。
16進数を10進数に変換,16進数の各桁を重み付け（16の累乗）して合計し10進数にする。
コロン,「:」記号。プログラミングや時間表記などで使う。
論理和,OR演算。いずれかが真なら結果は真。
論理積,AND演算。両方が真なら結果は真。
排他的論理和,XOR演算。どちらか一方のみ真なら結果は真。
否定,NOT演算。真を偽に、偽を真に変える。
否定論積,NAND演算。ANDの否定。両方が真のときだけ偽。
否定論和,NOR演算。ORの否定。どちらも偽のときだけ真。
線形計画法,制約条件下で目的関数を最大化または最小化する最適化手法。
移動平均法,時系列データの平均を一定期間で計算し、変動を平滑化する手法。
最小二乗法,観測データとモデルの誤差の二乗和を最小にする推定方法。
桁落ち,計算時に有効桁数の差で精度が落ちる現象。
丸め誤差,計算結果の数値を近似して表現する際に生じる誤差。
情報落ち,計算過程で小さい値が無視され、情報が失われる現象。
打ち切り誤差,無限級数や計算を途中で止めることで生じる誤差。
逆ポーランド表記法,演算子を後置する記法。計算の括弧を不要にする。
ハミング符号,エラー検出・訂正ができる符号化方式。
奇数パリティ,ビット列の1の数が奇数になるようにパリティビットを設定。
水平パリティ,データの行ごとにパリティビットを付加して誤り検出。
偶数パリティビット,ビット列の1の数が偶数になるようにパリティビットを設定。
パイプライン計算,複数段階の処理を並列化し、処理効率を上げる計算方式。
平均待ち時間,システムで処理を待つ平均時間。
稼働率計算,システムや機器が稼働している割合を計算。直列：掛け算、並列：1ー（サーバ＋プリンターの両方の停止率）
サブネット計算,IPアドレスをネットワーク部とホスト部に分割する計算。
ネットワークIPアドレスのルート集約,複数のIPアドレス範囲をまとめて経路情報を簡略化する技術。
URL記述,ウェブページのアドレス表記方法。
スタックに値を入れる,スタックのトップにデータを積む操作（プッシュ）。
命令数,プログラム内の命令の総数。
磁気ディスクのアクセス時間,"データ読み書きにかかる時間の合計。平均シーク時間＋平均回転待ち時間＋データ転送時間
平均回転待ち時間は、ディスクが1回転するのにかかる時間の半分。"
主記憶の平均アクセス時間,メモリからデータを読み書きする平均時間。キャッシュメモリのアクセス時間×ヒット率＋主記憶のアクセス時間×(1－ヒット率)
BNF(バッカス・ナウア記法),プログラミング言語の構文を形式的に記述する文法記法。
パリティビット計算,データの誤り検出用にパリティビットを設定する計算。
真理値表,論理式の入力と出力の全パターンを表にまとめたもの。
2段階エディット法,データの誤り訂正技術の一種で、2段階で訂正を行う方法。
進数の論理和,異なる進数表記のビットごとのOR演算。
多重度,オブジェクト間の関係の数（例：1対多、多対多）。
ルーターのアドレス計算,ルーターが宛先までの経路を決定するためのアドレス演算。
損益分岐点,収益と費用が等しくなり利益がゼロになる点。
安全余裕率,損益分岐点から実際の売上までの余裕の割合。この値が高いほど経営に余裕がある。(売上高－損益分岐点売上高)÷売上高×100
限界利益率,売上増加に対する利益の増加割合。
信頼性,システムが故障せずに安定して動作し続ける能力。
可用性,必要なときにシステムが利用できる状態である割合や度合い。
保守性,故障時や変更時に、修理・改善・更新がしやすい性質。
保全性,システムの正常な状態を維持し、故障を未然に防ぐ能力。
安全性,利用者や周囲に危害を及ぼさず、安全に使用できる性質。
機密性,情報が許可された人だけに見られるように保護されていること。
完全性,情報が改ざんされず、正確で一貫していること。
真正性,情報や通信の発信元が正当であることを確認できる性質。
責任追跡性,誰が何をしたかを記録し、後から確認できるようにすること。
否認防止,行った行為をあとで「やっていない」と否定できないようにすること。
SEOポイズニング,検索結果に悪質なサイトを上位表示させ、アクセスさせる攻撃。
リフレクション攻撃,第三者サーバを利用して、被害者に大量の応答を送らせる攻撃。
NTP増幅攻撃,NTPサーバを悪用して、大量の応答を被害者に送るDDoS攻撃の一種。
スマーフ攻撃,ICMPを使い、ネットワーク全体から標的に攻撃を返させる増幅攻撃。
ICMP Flood攻撃,ICMPエコー要求を大量送信して標的を過負荷にする攻撃。
SYN Flood攻撃,TCP接続要求（SYN）を大量送信してサーバ資源を枯渇させる攻撃。
標的型攻撃,特定の組織や人物を狙って行われるサイバー攻撃の総称。
水飲み場攻撃,ターゲットがよく訪れるサイトを改ざんし、マルウェア感染させる攻撃。
やり取り型攻撃,メールなどで継続的にやり取りし、信頼させて情報を盗む攻撃。
ビジネスメール攻撃（BEC）,上司や取引先を装い、金銭や情報を詐取するメール詐欺。
中間者攻撃（MITM）,通信の途中に割り込んで盗聴・改ざんを行う攻撃。
SSL/TLSのダウングレード攻撃,通信を弱い暗号方式に誘導し、盗聴や改ざんを可能にする攻撃。
MITB攻撃,ブラウザ内で通信内容を改ざんする「中間者（ブラウザ内）」攻撃。
クリックジャッキング,見えないボタンを重ね、意図しない操作をさせる攻撃。
クリプトジャッキング,他人の端末で無断で仮想通貨のマイニングを行う行為。
スパムメール,無差別に送られる迷惑・広告メール。ウイルスや詐欺の手口にも。
Adversarial Examples攻撃,AIが誤認識するように細工された入力で、AIをだます攻撃。
RLTrap,強化学習エージェントをだまして誤った行動を学習させる攻撃。
TCPスキャン,TCPプロトコルを使ってポートの開放状況を調査する総称。具体的にはSYNスキャンなどの方式を含む。
SYNスキャン,TCP接続の最初の「SYN」パケットだけを送信し、ポートが開いているかどうかをステルス的に確認する方法。相手と完全な接続は行わない。
FINスキャン,TCPの終了信号「FIN」パケットを送って、応答の有無からポート状態を探る手法。通常の通信では使われないため、検出されにくい。
UDPスキャン,接続型ではないUDPパケットを送り、応答があるかどうかでポートの状態を調べる。ICMPエラーメッセージの有無で判断する。
ダイレクトマッピング方式,キャッシュメモリの管理方式の1つ。主記憶のあるブロックが、キャッシュの特定の位置（1か所）にだけ割り当てられる方式。
